Food_ID,Name,C_Type,Veg_Non,Describe,combined_features
1,Beans Curry,Indian,Veg,beans wrap peas garlic spinach chili pepper cumin,Beans Curry beans wrap peas garlic spinach chili pepper cumin
2,Fish Fried rice,Mediterranean,Non-Veg,fish rice peas tomato garlic chili olive oil cumin,Fish Fried rice fish rice peas tomato garlic chili olive oil cumin
3,Chicken Gravy,Mediterranean,Non-Veg,chicken soup ginger onion peas olive oil coriander butter,Chicken Gravy chicken soup ginger onion peas olive oil coriander butter
4,Chicken Fried rice,Chinese,Non-Veg,chicken soup carrot peas garlic cumin salt chili,Chicken Fried rice chicken soup carrot peas garlic cumin salt chili
5,Prawn Noodle bowl,Japanese,Non-Veg,prawn rice ginger garlic tomato olive oil pepper turmeric,Prawn Noodle bowl prawn rice ginger garlic tomato olive oil pepper turmeric
6,Mushroom Biryani,Chinese,Veg,mushroom soup tomato garlic onion chili soy sauce pepper,Mushroom Biryani mushroom soup tomato garlic onion chili soy sauce pepper
7,Potato Gravy,Japanese,Veg,potato pasta peas tomato spinach cumin chili olive oil,Potato Gravy potato pasta peas tomato spinach cumin chili olive oil
8,Egg Gravy,Mexican,Non-Veg,egg rice ginger garlic onion turmeric pepper soy sauce,Egg Gravy egg rice ginger garlic onion turmeric pepper soy sauce
9,Chickpeas Biryani,American,Veg,chickpeas soup peas garlic tomato cumin chili salt,Chickpeas Biryani chickpeas soup peas garlic tomato cumin chili salt
10,Chickpeas Biryani,Mediterranean,Veg,chickpeas noodles carrot spinach tomato salt turmeric cumin,Chickpeas Biryani chickpeas noodles carrot spinach tomato salt turmeric cumin
11,Fish Masala,American,Non-Veg,fish wrap onion garlic capsicum pepper chili olive oil,Fish Masala fish wrap onion garlic capsicum pepper chili olive oil
12,Potato Fried rice,Italian,Veg,potato soup ginger tomato garlic soy sauce chili pepper,Potato Fried rice potato soup ginger tomato garlic soy sauce chili pepper
13,Tofu Soup,Indian,Veg,tofu soup peas ginger onion turmeric chili butter,Tofu Soup tofu soup peas ginger onion turmeric chili butter
14,Chicken Gravy,Japanese,Non-Veg,chicken wrap peas onion capsicum olive oil cumin chili,Chicken Gravy chicken wrap peas onion capsicum olive oil cumin chili
15,Mutton Pasta bowl,Chinese,Non-Veg,mutton soup onion peas ginger olive oil soy sauce salt,Mutton Pasta bowl mutton soup onion peas ginger olive oil soy sauce salt
16,Fish Stir fry,Japanese,Non-Veg,fish rice spinach tomato peas olive oil chili cumin,Fish Stir fry fish rice spinach tomato peas olive oil chili cumin
17,Mushroom Noodle bowl,Indian,Veg,mushroom pasta spinach tomato ginger soy sauce chili coriander,Mushroom Noodle bowl mushroom pasta spinach tomato ginger soy sauce chili coriander
18,Prawn Biryani,American,Non-Veg,prawn soup onion carrot garlic salt chili soy sauce,Prawn Biryani prawn soup onion carrot garlic salt chili soy sauce
19,Paneer Gravy,Mexican,Veg,paneer rice tomato garlic onion turmeric pepper coriander,Paneer Gravy paneer rice tomato garlic onion turmeric pepper coriander
20,Fish Biryani,Italian,Non-Veg,fish pasta spinach onion ginger turmeric pepper coriander,Fish Biryani fish pasta spinach onion ginger turmeric pepper coriander
21,Fish Stir fry,Thai,Non-Veg,fish wrap onion capsicum ginger turmeric chili butter,Fish Stir fry fish wrap onion capsicum ginger turmeric chili butter
22,Chickpeas Gravy,American,Veg,chickpeas pasta ginger capsicum spinach cumin turmeric pepper,Chickpeas Gravy chickpeas pasta ginger capsicum spinach cumin turmeric pepper
23,Beans Stir fry,Indian,Veg,beans wrap onion peas carrot chili olive oil salt,Beans Stir fry beans wrap onion peas carrot chili olive oil salt
24,Egg Gravy,Mexican,Non-Veg,egg wrap spinach ginger garlic pepper turmeric coriander,Egg Gravy egg wrap spinach ginger garlic pepper turmeric coriander
25,Mushroom Masala,American,Veg,mushroom noodles ginger tomato garlic turmeric olive oil chili,Mushroom Masala mushroom noodles ginger tomato garlic turmeric olive oil chili
26,Prawn Gravy,American,Non-Veg,prawn pasta ginger garlic carrot turmeric salt butter,Prawn Gravy prawn pasta ginger garlic carrot turmeric salt butter
27,Chicken Biryani,Chinese,Non-Veg,chicken salad capsicum peas ginger cumin chili soy sauce,Chicken Biryani chicken salad capsicum peas ginger cumin chili soy sauce
28,Fish Noodle bowl,Thai,Non-Veg,fish rice carrot onion garlic turmeric butter cumin,Fish Noodle bowl fish rice carrot onion garlic turmeric butter cumin
29,Beans Biryani,Mediterranean,Veg,beans bread peas carrot garlic olive oil pepper turmeric,Beans Biryani beans bread peas carrot garlic olive oil pepper turmeric
30,Potato Stir fry,Mexican,Veg,potato rice spinach tomato ginger coriander olive oil turmeric,Potato Stir fry potato rice spinach tomato ginger coriander olive oil turmeric
31,Chicken Stir fry,Thai,Non-Veg,chicken bread ginger onion garlic olive oil chili turmeric,Chicken Stir fry chicken bread ginger onion garlic olive oil chili turmeric
32,Lentils Soup,Thai,Veg,lentils soup spinach carrot garlic pepper coriander olive oil,Lentils Soup lentils soup spinach carrot garlic pepper coriander olive oil
33,Mushroom Stir fry,Indian,Veg,mushroom noodles garlic tomato peas coriander soy sauce chili,Mushroom Stir fry mushroom noodles garlic tomato peas coriander soy sauce chili
34,Prawn Curry,Italian,Non-Veg,prawn soup tomato carrot ginger olive oil salt pepper,Prawn Curry prawn soup tomato carrot ginger olive oil salt pepper
35,Chicken Noodle bowl,Indian,Non-Veg,chicken bread capsicum onion carrot turmeric salt chili,Chicken Noodle bowl chicken bread capsicum onion carrot turmeric salt chili
36,Fish Soup,Mexican,Non-Veg,fish salad tomato onion carrot cumin chili pepper,Fish Soup fish salad tomato onion carrot cumin chili pepper
37,Mutton Curry,Italian,Non-Veg,mutton wrap garlic spinach capsicum butter coriander pepper,Mutton Curry mutton wrap garlic spinach capsicum butter coriander pepper
38,Mushroom Curry,Thai,Veg,mushroom rice capsicum onion peas olive oil turmeric chili,Mushroom Curry mushroom rice capsicum onion peas olive oil turmeric chili
39,Beans Fried rice,Thai,Veg,beans wrap capsicum carrot onion olive oil salt butter,Beans Fried rice beans wrap capsicum carrot onion olive oil salt butter
40,Chickpeas Fried rice,Chinese,Veg,chickpeas noodles spinach tomato carrot pepper chili cumin,Chickpeas Fried rice chickpeas noodles spinach tomato carrot pepper chili cumin
41,Prawn Soup,Mexican,Non-Veg,prawn salad ginger peas garlic coriander chili soy sauce,Prawn Soup prawn salad ginger peas garlic coriander chili soy sauce
42,Egg Gravy,Thai,Non-Veg,egg wrap tomato ginger carrot soy sauce salt butter,Egg Gravy egg wrap tomato ginger carrot soy sauce salt butter
43,Tofu Masala,Indian,Veg,tofu pasta onion capsicum tomato butter coriander salt,Tofu Masala tofu pasta onion capsicum tomato butter coriander salt
44,Beans Stir fry,Mexican,Veg,beans pasta garlic onion carrot chili olive oil butter,Beans Stir fry beans pasta garlic onion carrot chili olive oil butter
45,Potato Soup,Japanese,Veg,potato bread peas ginger spinach butter coriander chili,Potato Soup potato bread peas ginger spinach butter coriander chili
46,Mutton Biryani,Japanese,Non-Veg,mutton pasta spinach carrot peas turmeric soy sauce pepper,Mutton Biryani mutton pasta spinach carrot peas turmeric soy sauce pepper
47,Tofu Gravy,Mexican,Veg,tofu bread garlic ginger tomato olive oil butter salt,Tofu Gravy tofu bread garlic ginger tomato olive oil butter salt
48,Paneer Pasta bowl,Italian,Veg,paneer bread garlic tomato capsicum turmeric chili cumin,Paneer Pasta bowl paneer bread garlic tomato capsicum turmeric chili cumin
49,Beans Stir fry,Thai,Veg,beans soup ginger garlic capsicum soy sauce coriander pepper,Beans Stir fry beans soup ginger garlic capsicum soy sauce coriander pepper
50,Tofu Pasta bowl,Italian,Veg,tofu noodles tomato onion capsicum coriander soy sauce turmeric,Tofu Pasta bowl tofu noodles tomato onion capsicum coriander soy sauce turmeric
51,Potato Pasta bowl,Mediterranean,Veg,potato pasta garlic spinach carrot salt chili cumin,Potato Pasta bowl potato pasta garlic spinach carrot salt chili cumin
52,Egg Pasta bowl,Mediterranean,Non-Veg,egg wrap garlic spinach carrot cumin olive oil soy sauce,Egg Pasta bowl egg wrap garlic spinach carrot cumin olive oil soy sauce
53,Mushroom Curry,Mediterranean,Veg,mushroom soup garlic spinach carrot coriander salt olive oil,Mushroom Curry mushroom soup garlic spinach carrot coriander salt olive oil
54,Egg Gravy,American,Non-Veg,egg noodles tomato capsicum onion pepper cumin salt,Egg Gravy egg noodles tomato capsicum onion pepper cumin salt
55,Egg Curry,Mexican,Non-Veg,egg bread garlic carrot tomato turmeric coriander olive oil,Egg Curry egg bread garlic carrot tomato turmeric coriander olive oil
56,Mushroom Biryani,Indian,Veg,mushroom bread capsicum ginger onion soy sauce turmeric butter,Mushroom Biryani mushroom bread capsicum ginger onion soy sauce turmeric butter
57,Mushroom Biryani,Italian,Veg,mushroom salad tomato garlic capsicum turmeric cumin pepper,Mushroom Biryani mushroom salad tomato garlic capsicum turmeric cumin pepper
58,Chicken Stir fry,Chinese,Non-Veg,chicken wrap carrot peas garlic olive oil soy sauce pepper,Chicken Stir fry chicken wrap carrot peas garlic olive oil soy sauce pepper
59,Lentils Masala,American,Veg,lentils bread carrot peas tomato salt turmeric olive oil,Lentils Masala lentils bread carrot peas tomato salt turmeric olive oil
60,Chicken Fried rice,Mexican,Non-Veg,chicken salad tomato carrot spinach soy sauce salt turmeric,Chicken Fried rice chicken salad tomato carrot spinach soy sauce salt turmeric
61,Mushroom Masala,Italian,Veg,mushroom salad carrot onion capsicum chili olive oil cumin,Mushroom Masala mushroom salad carrot onion capsicum chili olive oil cumin
62,Tofu Fried rice,Italian,Veg,tofu noodles capsicum tomato spinach turmeric soy sauce coriander,Tofu Fried rice tofu noodles capsicum tomato spinach turmeric soy sauce coriander
63,Lentils Stir fry,Chinese,Veg,lentils rice onion tomato ginger butter coriander salt,Lentils Stir fry lentils rice onion tomato ginger butter coriander salt
64,Potato Fried rice,Indian,Veg,potato soup tomato onion peas turmeric soy sauce salt,Potato Fried rice potato soup tomato onion peas turmeric soy sauce salt
65,Egg Fried rice,Japanese,Non-Veg,egg rice peas capsicum ginger olive oil chili salt,Egg Fried rice egg rice peas capsicum ginger olive oil chili salt
66,Fish Biryani,Chinese,Non-Veg,fish bread garlic carrot spinach coriander soy sauce chili,Fish Biryani fish bread garlic carrot spinach coriander soy sauce chili
67,Tofu Masala,Mediterranean,Veg,tofu noodles peas capsicum tomato salt cumin chili,Tofu Masala tofu noodles peas capsicum tomato salt cumin chili
68,Prawn Noodle bowl,Italian,Non-Veg,prawn salad capsicum onion carrot salt coriander turmeric,Prawn Noodle bowl prawn salad capsicum onion carrot salt coriander turmeric
69,Paneer Stir fry,Italian,Veg,paneer salad capsicum tomato onion pepper olive oil soy sauce,Paneer Stir fry paneer salad capsicum tomato onion pepper olive oil soy sauce
70,Egg Stir fry,Chinese,Non-Veg,egg salad tomato capsicum ginger turmeric soy sauce pepper,Egg Stir fry egg salad tomato capsicum ginger turmeric soy sauce pepper
71,Prawn Soup,Italian,Non-Veg,prawn noodles spinach carrot onion soy sauce butter cumin,Prawn Soup prawn noodles spinach carrot onion soy sauce butter cumin
72,Mushroom Curry,American,Veg,mushroom rice capsicum ginger tomato turmeric chili soy sauce,Mushroom Curry mushroom rice capsicum ginger tomato turmeric chili soy sauce
73,Prawn Pasta bowl,Indian,Non-Veg,prawn pasta ginger onion carrot olive oil salt pepper,Prawn Pasta bowl prawn pasta ginger onion carrot olive oil salt pepper
74,Fish Soup,Chinese,Non-Veg,fish noodles onion tomato capsicum cumin turmeric chili,Fish Soup fish noodles onion tomato capsicum cumin turmeric chili
75,Mutton Biryani,Indian,Non-Veg,mutton salad tomato capsicum garlic cumin salt chili,Mutton Biryani mutton salad tomato capsicum garlic cumin salt chili
76,Chickpeas Noodle bowl,Indian,Veg,chickpeas noodles tomato carrot garlic turmeric salt chili,Chickpeas Noodle bowl chickpeas noodles tomato carrot garlic turmeric salt chili
77,Chicken Fried rice,Indian,Non-Veg,chicken soup carrot tomato spinach salt coriander butter,Chicken Fried rice chicken soup carrot tomato spinach salt coriander butter
78,Mushroom Soup,Mediterranean,Veg,mushroom pasta ginger garlic capsicum cumin chili turmeric,Mushroom Soup mushroom pasta ginger garlic capsicum cumin chili turmeric
79,Chicken Biryani,Mexican,Non-Veg,chicken salad capsicum tomato ginger soy sauce cumin salt,Chicken Biryani chicken salad capsicum tomato ginger soy sauce cumin salt
80,Chickpeas Biryani,Chinese,Veg,chickpeas noodles tomato garlic ginger olive oil cumin soy sauce,Chickpeas Biryani chickpeas noodles tomato garlic ginger olive oil cumin soy sauce
81,Mutton Noodle bowl,Thai,Non-Veg,mutton noodles tomato capsicum carrot pepper salt soy sauce,Mutton Noodle bowl mutton noodles tomato capsicum carrot pepper salt soy sauce
82,Mushroom Soup,Italian,Veg,mushroom bread onion ginger carrot chili turmeric olive oil,Mushroom Soup mushroom bread onion ginger carrot chili turmeric olive oil
83,Egg Stir fry,Japanese,Non-Veg,egg rice carrot spinach capsicum turmeric pepper cumin,Egg Stir fry egg rice carrot spinach capsicum turmeric pepper cumin
84,Lentils Masala,Mexican,Veg,lentils salad peas ginger spinach pepper coriander turmeric,Lentils Masala lentils salad peas ginger spinach pepper coriander turmeric
85,Potato Fried rice,Indian,Veg,potato bread capsicum ginger tomato turmeric coriander salt,Potato Fried rice potato bread capsicum ginger tomato turmeric coriander salt
86,Prawn Fried rice,Italian,Non-Veg,prawn noodles spinach garlic capsicum pepper soy sauce cumin,Prawn Fried rice prawn noodles spinach garlic capsicum pepper soy sauce cumin
87,Egg Curry,Italian,Non-Veg,egg rice spinach garlic capsicum cumin olive oil soy sauce,Egg Curry egg rice spinach garlic capsicum cumin olive oil soy sauce
88,Egg Masala,Thai,Non-Veg,egg salad garlic ginger onion olive oil pepper chili,Egg Masala egg salad garlic ginger onion olive oil pepper chili
89,Paneer Noodle bowl,Thai,Veg,paneer wrap garlic capsicum carrot coriander turmeric salt,Paneer Noodle bowl paneer wrap garlic capsicum carrot coriander turmeric salt
90,Fish Biryani,Thai,Non-Veg,fish pasta ginger spinach carrot salt chili cumin,Fish Biryani fish pasta ginger spinach carrot salt chili cumin
91,Chicken Soup,American,Non-Veg,chicken rice tomato capsicum onion olive oil turmeric butter,Chicken Soup chicken rice tomato capsicum onion olive oil turmeric butter
92,Tofu Curry,American,Veg,tofu bread spinach capsicum ginger cumin coriander salt,Tofu Curry tofu bread spinach capsicum ginger cumin coriander salt
93,Fish Fried rice,Chinese,Non-Veg,fish soup carrot garlic capsicum butter chili salt,Fish Fried rice fish soup carrot garlic capsicum butter chili salt
94,Prawn Stir fry,American,Non-Veg,prawn salad ginger capsicum garlic salt chili pepper,Prawn Stir fry prawn salad ginger capsicum garlic salt chili pepper
95,Lentils Biryani,Italian,Veg,lentils pasta carrot garlic ginger salt turmeric butter,Lentils Biryani lentils pasta carrot garlic ginger salt turmeric butter
96,Mutton Masala,Mediterranean,Non-Veg,mutton wrap carrot garlic peas salt coriander turmeric,Mutton Masala mutton wrap carrot garlic peas salt coriander turmeric
97,Beans Stir fry,Mediterranean,Veg,beans noodles garlic ginger tomato butter coriander turmeric,Beans Stir fry beans noodles garlic ginger tomato butter coriander turmeric
98,Chicken Curry,Mediterranean,Non-Veg,chicken pasta spinach garlic ginger butter turmeric coriander,Chicken Curry chicken pasta spinach garlic ginger butter turmeric coriander
99,Egg Fried rice,Indian,Non-Veg,egg pasta spinach tomato peas butter soy sauce turmeric,Egg Fried rice egg pasta spinach tomato peas butter soy sauce turmeric
100,Beans Gravy,Indian,Veg,beans salad spinach carrot onion pepper coriander butter,Beans Gravy beans salad spinach carrot onion pepper coriander butter
101,Paneer Curry,Mediterranean,Veg,paneer salad tomato peas capsicum chili soy sauce salt,Paneer Curry paneer salad tomato peas capsicum chili soy sauce salt
102,Fish Gravy,Thai,Non-Veg,fish bread carrot spinach peas cumin pepper butter,Fish Gravy fish bread carrot spinach peas cumin pepper butter
103,Lentils Pasta bowl,Mediterranean,Veg,lentils pasta tomato onion garlic olive oil pepper soy sauce,Lentils Pasta bowl lentils pasta tomato onion garlic olive oil pepper soy sauce
104,Prawn Masala,Mediterranean,Non-Veg,prawn pasta spinach garlic carrot cumin turmeric coriander,Prawn Masala prawn pasta spinach garlic carrot cumin turmeric coriander
105,Beans Noodle bowl,Indian,Veg,beans noodles carrot tomato peas turmeric soy sauce butter,Beans Noodle bowl beans noodles carrot tomato peas turmeric soy sauce butter
106,Mutton Masala,Mediterranean,Non-Veg,mutton rice garlic spinach carrot coriander olive oil salt,Mutton Masala mutton rice garlic spinach carrot coriander olive oil salt
107,Prawn Curry,American,Non-Veg,prawn wrap carrot peas tomato pepper salt cumin,Prawn Curry prawn wrap carrot peas tomato pepper salt cumin
108,Mutton Pasta bowl,Mediterranean,Non-Veg,mutton salad garlic peas carrot soy sauce chili turmeric,Mutton Pasta bowl mutton salad garlic peas carrot soy sauce chili turmeric
109,Prawn Fried rice,Italian,Non-Veg,prawn noodles onion spinach carrot salt cumin olive oil,Prawn Fried rice prawn noodles onion spinach carrot salt cumin olive oil
110,Tofu Curry,Mediterranean,Veg,tofu salad capsicum carrot spinach olive oil coriander cumin,Tofu Curry tofu salad capsicum carrot spinach olive oil coriander cumin
111,Prawn Soup,Japanese,Non-Veg,prawn noodles tomato garlic onion butter chili turmeric,Prawn Soup prawn noodles tomato garlic onion butter chili turmeric
112,Potato Biryani,Chinese,Veg,potato rice peas spinach onion pepper coriander salt,Potato Biryani potato rice peas spinach onion pepper coriander salt
113,Chicken Pasta bowl,Italian,Non-Veg,chicken wrap capsicum spinach tomato olive oil soy sauce coriander,Chicken Pasta bowl chicken wrap capsicum spinach tomato olive oil soy sauce coriander
114,Tofu Pasta bowl,Chinese,Veg,tofu wrap spinach garlic capsicum butter salt turmeric,Tofu Pasta bowl tofu wrap spinach garlic capsicum butter salt turmeric
115,Mushroom Curry,Mediterranean,Veg,mushroom soup onion garlic tomato pepper chili turmeric,Mushroom Curry mushroom soup onion garlic tomato pepper chili turmeric
116,Potato Pasta bowl,Thai,Veg,potato soup garlic ginger tomato chili soy sauce pepper,Potato Pasta bowl potato soup garlic ginger tomato chili soy sauce pepper
